Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,is_returned,days_to_return,return_probability
ORD00000000,PROD00000000,USER00000000,2023-08-05,2024-08-26,1,411.59,3,Changed mind,Returned,-19574.0,58,1,46,1,1,45.27,1,387.0,1.0
ORD00000001,PROD00000001,USER00000001,2023-10-09,2023-11-09,0,288.88,3,Wrong item,Returned,-19639.0,68,0,83,0,0,47.79,1,31.0,1.0
ORD00000005,PROD00000005,USER00000005,2024-02-14,2024-09-22,2,252.12,1,Defective,Returned,-19767.0,46,0,37,1,1,47.61,1,221.0,1.0
ORD00000006,PROD00000006,USER00000006,2023-05-29,2023-08-03,1,382.89,2,Wrong item,Returned,-19506.0,25,1,41,0,0,28.49,1,66.0,1.0
ORD00000007,PROD00000007,USER00000007,2023-02-09,2024-08-01,2,306.39,3,Not as described,Returned,-19397.0,67,0,27,0,0,38.91,1,539.0,1.0
ORD00000008,PROD00000008,USER00000008,2024-12-25,2024-09-25,3,302.4,5,Defective,Returned,-20083.0,54,1,79,1,2,18.5,1,-91.0,1.0
ORD00000009,PROD00000009,USER00000009,2023-03-10,2024-01-21,1,294.94,3,Not as described,Returned,-19426.0,44,1,80,0,2,45.21,1,317.0,1.0
ORD00000015,PROD00000015,USER00000015,2024-10-02,2023-12-04,2,370.08,2,Wrong item,Returned,-19999.0,24,0,13,0,2,23.99,1,-303.0,1.0
ORD00000017,PROD00000017,USER00000017,2023-02-03,2023-06-03,2,400.12,1,Defective,Returned,-19391.0,33,1,20,3,2,18.25,1,120.0,1.0
ORD00000018,PROD00000018,USER00000018,2024-10-07,2023-03-18,0,358.31,1,Changed mind,Returned,-20004.0,51,0,32,3,2,11.84,1,-569.0,1.0
ORD00000019,PROD00000019,USER00000019,2024-07-06,2024-05-01,2,227.94,5,Changed mind,Returned,-19911.0,50,0,58,1,0,43.86,1,-66.0,1.0
ORD00000021,PROD00000021,USER00000021,2024-02-28,2023-01-06,0,85.69,2,Changed mind,Returned,-19782.0,30,0,11,1,2,24.58,1,-418.0,1.0
ORD00000022,PROD00000022,USER00000022,2024-07-13,2023-09-13,0,227.2,5,Wrong item,Returned,-19918.0,65,0,90,2,1,27.94,1,-304.0,1.0
ORD00000023,PROD00000023,USER00000023,2024-07-01,2024-01-24,2,57.14,2,Wrong item,Returned,-19906.0,41,0,14,2,2,43.06,1,-159.0,1.0
ORD00000028,PROD00000028,USER00000028,2024-05-15,2024-09-05,4,106.6,5,Defective,Returned,-19858.0,53,1,63,0,2,18.42,1,113.0,1.0
ORD00000033,PROD00000033,USER00000033,2024-02-03,2023-08-18,3,335.28,4,Wrong item,Returned,-19757.0,18,1,5,1,1,25.37,1,-169.0,1.0
ORD00000036,PROD00000036,USER00000036,2024-01-07,2023-08-29,2,115.82,5,Defective,Returned,-19730.0,54,0,32,0,0,23.76,1,-131.0,1.0
ORD00000037,PROD00000037,USER00000037,2023-02-11,2024-05-10,1,246.15,1,Wrong item,Returned,-19399.0,31,0,55,2,2,23.63,1,454.0,1.0
ORD00000039,PROD00000039,USER00000039,2024-10-27,2024-10-19,4,266.34,4,Wrong item,Returned,-20024.0,44,0,53,3,2,30.88,1,-8.0,1.0
ORD00000041,PROD00000041,USER00000041,2024-01-03,2023-01-15,0,334.27,4,Changed mind,Returned,-19726.0,69,1,79,3,0,43.44,1,-353.0,1.0
ORD00000043,PROD00000043,USER00000043,2024-05-23,2024-06-05,1,105.7,3,Wrong item,Returned,-19866.0,44,1,30,0,1,42.07,1,13.0,1.0
ORD00000045,PROD00000045,USER00000045,2023-11-15,2023-02-05,4,294.18,2,Changed mind,Returned,-19677.0,69,1,87,2,1,32.7,1,-283.0,1.0
ORD00000046,PROD00000046,USER00000046,2023-05-22,2024-03-09,3,97.31,2,Changed mind,Returned,-19499.0,53,0,39,1,1,10.96,1,292.0,1.0
ORD00000047,PROD00000047,USER00000047,2024-10-23,2024-03-22,3,335.96,2,Wrong item,Returned,-20020.0,63,1,40,0,2,19.05,1,-215.0,1.0
ORD00000048,PROD00000048,USER00000048,2024-04-19,2023-11-16,2,344.31,4,Not as described,Returned,-19833.0,36,1,62,0,0,10.99,1,-155.0,1.0
