Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,is_returned,days_to_return,return_probability
ORD00000000,PROD00000000,USER00000000,2023-08-05,2024-08-26,1,411.59,3,Changed mind,Returned,-19574.0,58,1,46,1,1,45.27,1,387.0,1.0
ORD00000001,PROD00000001,USER00000001,2023-10-09,2023-11-09,0,288.88,3,Wrong item,Returned,-19639.0,68,0,83,0,0,47.79,1,31.0,1.0
ORD00000002,PROD00000002,USER00000002,2023-05-06,,4,390.03,5,Not Returned,Not Returned,0.0,22,0,17,1,1,26.64,0,0.0,3.408677732432944e-16
ORD00000003,PROD00000003,USER00000003,2024-08-29,,4,401.09,3,Not Returned,Not Returned,0.0,40,1,95,3,1,15.37,0,0.0,9.318746088013118e-20
ORD00000004,PROD00000004,USER00000004,2023-01-16,,0,110.09,4,Not Returned,Not Returned,0.0,34,0,77,2,2,16.37,0,0.0,2.328764862985257e-09
ORD00000005,PROD00000005,USER00000005,2024-02-14,2024-09-22,2,252.12,1,Defective,Returned,-19767.0,46,0,37,1,1,47.61,1,221.0,1.0
ORD00000006,PROD00000006,USER00000006,2023-05-29,2023-08-03,1,382.89,2,Wrong item,Returned,-19506.0,25,1,41,0,0,28.49,1,66.0,1.0
ORD00000007,PROD00000007,USER00000007,2023-02-09,2024-08-01,2,306.39,3,Not as described,Returned,-19397.0,67,0,27,0,0,38.91,1,539.0,1.0
ORD00000008,PROD00000008,USER00000008,2024-12-25,2024-09-25,3,302.4,5,Defective,Returned,-20083.0,54,1,79,1,2,18.5,1,-91.0,1.0
ORD00000009,PROD00000009,USER00000009,2023-03-10,2024-01-21,1,294.94,3,Not as described,Returned,-19426.0,44,1,80,0,2,45.21,1,317.0,1.0
ORD00000010,PROD00000010,USER00000010,2024-05-26,,4,119.0,2,Not Returned,Not Returned,0.0,70,0,30,0,1,8.72,0,0.0,3.9677620194209753e-10
ORD00000011,PROD00000011,USER00000011,2024-02-08,,3,480.48,4,Not Returned,Not Returned,0.0,54,1,7,2,1,0.27,0,0.0,5.860244879106236e-20
ORD00000012,PROD00000012,USER00000012,2024-06-07,,4,216.41,3,Not Returned,Not Returned,0.0,66,1,89,3,2,30.26,0,0.0,1.3344226856638852e-15
ORD00000013,PROD00000013,USER00000013,2023-07-22,,2,198.78,2,Not Returned,Not Returned,0.0,51,1,83,3,1,36.58,0,0.0,4.242417051294121e-14
ORD00000014,PROD00000014,USER00000014,2024-09-01,,2,146.37,4,Not Returned,Not Returned,0.0,45,1,88,3,1,28.23,0,0.0,6.145068513757647e-12
ORD00000015,PROD00000015,USER00000015,2024-10-02,2023-12-04,2,370.08,2,Wrong item,Returned,-19999.0,24,0,13,0,2,23.99,1,-303.0,1.0
ORD00000016,PROD00000016,USER00000016,2024-05-09,,1,311.08,1,Not Returned,Not Returned,0.0,52,0,73,3,2,6.66,0,0.0,1.4362410511928014e-16
ORD00000017,PROD00000017,USER00000017,2023-02-03,2023-06-03,2,400.12,1,Defective,Returned,-19391.0,33,1,20,3,2,18.25,1,120.0,1.0
ORD00000018,PROD00000018,USER00000018,2024-10-07,2023-03-18,0,358.31,1,Changed mind,Returned,-20004.0,51,0,32,3,2,11.84,1,-569.0,1.0
ORD00000019,PROD00000019,USER00000019,2024-07-06,2024-05-01,2,227.94,5,Changed mind,Returned,-19911.0,50,0,58,1,0,43.86,1,-66.0,1.0
ORD00000020,PROD00000020,USER00000020,2023-07-03,,1,6.14,1,Not Returned,Not Returned,0.0,31,0,65,0,1,47.47,0,0.0,2.392887638751388e-06
ORD00000021,PROD00000021,USER00000021,2024-02-28,2023-01-06,0,85.69,2,Changed mind,Returned,-19782.0,30,0,11,1,2,24.58,1,-418.0,1.0
ORD00000022,PROD00000022,USER00000022,2024-07-13,2023-09-13,0,227.2,5,Wrong item,Returned,-19918.0,65,0,90,2,1,27.94,1,-304.0,1.0
ORD00000023,PROD00000023,USER00000023,2024-07-01,2024-01-24,2,57.14,2,Wrong item,Returned,-19906.0,41,0,14,2,2,43.06,1,-159.0,1.0
ORD00000024,PROD00000024,USER00000024,2024-07-27,,4,274.29,2,Not Returned,Not Returned,0.0,18,1,82,2,0,2.49,0,0.0,1.831797269012724e-13
